,Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Период наблюдений,Дата модификации
103,104,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:37:15
104,105,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:38:40
105,106,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:00:48
106,107,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:15:11
107,108,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:16:06
108,109,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:17:14
109,110,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:18:19
110,111,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:20:06
111,112,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:20:46
112,113,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:21:37
113,114,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-11-20 00:00:00,2015-10-12 16:23:34
114,115,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:26:17
115,116,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:32:41
116,117,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:33:05
117,118,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:33:35
118,119,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:34:01
119,120,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:34:35
120,121,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:35:11
121,122,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:35:58
122,123,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-12-18 00:00:00,2016-01-15 13:36:46
123,124,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:39:47
124,125,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:40:31
125,126,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:41:03
126,127,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:41:32
127,128,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:42:00
128,129,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:42:27
129,130,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:43:17
130,131,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:44:01
131,132,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-02-19 00:00:00,2016-03-15 16:44:55
132,133,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:08:08
133,134,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:08:43
134,135,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:10:11
135,136,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:10:55
136,137,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:11:43
137,138,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:12:21
138,139,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:13:05
139,140,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:13:58
140,141,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-01-22 00:00:00,2016-03-15 17:14:50
